,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
54,596469,Centro,Universidad,40.42902,-3.70398,Hotel room,80,5,11,0.11,30,358
55,850654,Centro,Universidad,40.42623,-3.70462,Private room,19,2,93,0.99,4,348
56,877571,Centro,Justicia,40.42397,-3.69463,Entire home/apt,90,1,6,0.08,5,0
57,877571,Centro,Justicia,40.42339,-3.69475,Private room,30,1,12,0.17,5,0
58,877571,Centro,Justicia,40.42259,-3.69394,Private room,30,1,40,0.43,5,0
59,877571,Centro,Justicia,40.42396,-3.69545,Entire home/apt,89,1,0,0.0,5,0
60,927343,Centro,Sol,40.41516,-3.70731,Entire home/apt,70,3,210,2.16,3,275
61,852616,Centro,Palacio,40.41088,-3.71098,Entire home/apt,77,3,253,2.58,2,81
62,967721,Centro,Universidad,40.42538,-3.70505,Private room,25,1,24,0.46,2,271
63,749212,Centro,Embajadores,40.41392,-3.70356,Private room,75,3,141,1.44,1,305
64,75944,Salamanca,Castellana,40.43186,-3.68515,Entire home/apt,140,7,0,0.0,1,119
65,606925,Centro,Universidad,40.42384,-3.70686,Private room,40,1,43,0.44,3,324
66,1004721,Centro,Cortes,40.41476,-3.69531,Entire home/apt,140,7,97,1.0,1,288
67,1008659,Centro,Universidad,40.42063,-3.70539,Entire home/apt,85,3,265,2.71,2,289
68,124972,Moncloa - Aravaca,Argüelles,40.42973,-3.72118,Private room,50,10,6,0.07,4,350
